Feature_Index,Feature,RF_Mean_Importance,RF_Std_Importance,RF_CI_Lower,RF_CI_Upper,RF_CV_Robustness,RF_Ranking_Stability,RF_Consistency_Index,Perm_Mean_Importance,Perm_Std_Importance,Perm_CI_Lower,Perm_CI_Upper,Perm_Ranking_Stability,Perm_Consistency_Index,Mutual_Information
146,eeg_4_alpha_power,0.005558240302050281,0.0022728960467427,0.004912290392697331,0.006204190211403232,2.4454440252432237,0.0,0.026994685741755724,-0.0020865800865800875,0.011148237667380349,-0.005254874175968633,0.0010817140028084584,0.02,0.023962606117345176,0.07106825378869353
163,coherence_eeg_1_eeg_4,0.005537354281330541,0.0031420833448950873,0.004644384075005852,0.00643032448765523,1.762319294965583,0.02,0.021464884964722368,-0.001722943722943728,0.020555522076274035,-0.007564758460093865,0.00411887101420641,0.16,0.020617690396258534,0.01671521688848676
6,eeg_1_min,0.005535889005921783,0.0027941276954216963,0.004741806701029406,0.006329971310814159,1.9812583429407147,0.0,0.023875615151464656,0.0011168831168831136,0.013182963292338498,-0.0026296735969151223,0.00486343983068135,0.06,0.017704938336765758,0.017556854286727486
17,eeg_1_mobility,0.005503814386261745,0.0024256572090743263,0.004814450234932273,0.006193178537591217,2.2689991556812688,0.0,0.0257116989084014,-0.0009090909090909108,0.010092152372704118,-0.003777248878597191,0.001959067060415369,0.02,0.01968006134201681,0.0
129,eeg_4_energy,0.005476474027694348,0.0028518897914668493,0.004665975916739096,0.0062869721386496,1.9202964476575786,0.02,0.024150232059654515,0.00042424242424242073,0.012102796771757721,-0.003015334360994995,0.0038638192094798364,0.0,0.02460263117293003,0.0037248005961831865
89,eeg_3_median_abs,0.005463201974925335,0.00288099346810289,0.004644432690586757,0.006281971259263913,1.8962909308134304,0.02,0.025590211262860665,-0.0007359307359307379,0.009979739975812005,-0.0035721414557215417,0.002100279983860066,0.0,0.037765156464587175,0.0
24,eeg_1_spectral_entropy,0.005459809775496632,0.003149942354012844,0.004564606063493364,0.0063550134874998995,1.7333046095941056,0.02,0.02362608509559823,-0.002251082251082251,0.016180287091801516,-0.006849468963590391,0.0023473044614258885,0.02,0.02231006184246826,0.07385419949916727
115,eeg_3_lyapunov_exp,0.005432369433756467,0.0029072572822867685,0.004606136056013506,0.006258602811499428,1.8685546958637405,0.0,0.02253090527415674,-0.003601731601731602,0.010561862142471295,-0.006603379610801337,-0.000600083592661867,0.0,0.02646973606218275,0.03499141134392647
5,eeg_1_max,0.0053738510455907515,0.0029947461774811903,0.00452275359894274,0.006224948492238763,1.794426154228521,0.02,0.022307561238506763,-0.00014718614718615104,0.016264988157715293,-0.004769644636284123,0.004475272341911821,0.06,0.01814836250026744,0.002701426695451037
72,eeg_2_gamma_power,0.005362154482010124,0.0029339029577574913,0.004528348487085824,0.006195960476934424,1.8276522354179792,0.0,0.022308344715357767,-0.0027619047619047636,0.019973350435268784,-0.008438268149322421,0.0029144586255128936,0.04,0.026651985212202276,0.0
169,coherence_eeg_2_eeg_4,0.005342636422819496,0.0030025497001561095,0.004489321239565483,0.006195951606073509,1.7793664646433907,0.02,0.02277460322507121,-0.0047272727272727275,0.016997247712189956,-0.009557837079159102,0.00010329162461364741,0.26,0.017607979514690057,0.045357879257564404
